participant,Age_1,Sex_1,Prior_Knowledge_1,Media_Consumption_1,Trust_in_Media_1,NS1_1,NS2_1,NS3_1,NS4_1,NS5_1,NS6_1,NS7_1,NS8_1,NS9_1,NS10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,S19_1,S20_1,TIME_start,TIME_end,TIME_total
s.4a8ba2ee-c6ae-450b-89e7-4fc36ed7df7f.txt,1,1,3,3,3,5,6,5,6,5,4,6,7,6,7,,,,,,,,,,,2023-11-12-21-04,2023-11-12-21-16,12
s.883dcc74-9c62-47c4-8be0-7f7c1b9abc9c.txt,2,1,3,1,1,,,,,,,,,,,6,6,4,7,4,3,1,7,1,5,2023-11-08-17-00,2023-11-08-17-08,8
s.85e87deb-9b9f-4d48-9138-a71e52c495a8.txt,2,2,2,2,2,,,,,,,,,,,6,5,5,5,5,4,6,6,6,6,2023-11-08-10-28,2023-11-08-10-45,17
s.811b99f8-d7c5-4aac-ad2d-0b6fc49e31cf.txt,2,2,3,3,2,7,6,5,7,6,7,6,6,7,7,,,,,,,,,,,2023-11-11-02-58,2023-11-11-03-01,3
s.d33750cf-b0a3-474a-a3bb-50065994eb43.txt,1,1,2,2,1,,,,,,,,,,,6,5,5,5,2,5,4,6,6,3,2023-11-10-15-06,2023-11-10-15-08,2
s.a622354f-d896-4ec7-b498-b06ec8ec2867.txt,2,1,3,3,2,3,6,6,3,5,2,3,5,4,2,,,,,,,,,,,2023-11-08-12-42,2023-11-08-12-56,14
s.6f9e26ca-93d4-4528-bf90-2564c1e66466.txt,2,1,1,1,1,6,7,6,4,5,5,6,6,6,6,,,,,,,,,,,2023-11-12-05-26,2023-11-12-05-35,9
s.9f2406b7-b763-481e-ab5d-40f2dc73bc23.txt,2,2,2,2,2,,,,,,,,,,,5,6,5,5,5,6,5,7,5,5,2023-11-08-14-37,2023-11-08-14-41,4
s.73438e5f-2ac9-4335-8029-ae193df8a6c4.txt,2,1,3,3,1,,,,,,,,,,,4,5,7,4,6,6,6,7,4,6,2023-11-09-18-52,2023-11-09-19-03,11
s.6dc45655-3b9b-4175-b6d9-0166fecc141b.txt,2,2,1,2,2,,,,,,,,,,,2,5,2,3,2,6,6,5,7,7,2023-11-08-22-47,2023-11-08-22-54,7
s.8828b97c-3816-480f-8f9c-5ad761d0b64c.txt,2,2,2,3,1,,,,,,,,,,,3,5,2,2,3,5,5,5,3,5,2023-11-08-10-46,2023-11-08-10-55,9
s.789036d8-cbfe-4f5b-baf6-16e2cc2c79b5.txt,2,2,2,3,2,6,6,7,2,2,6,6,6,5,5,,,,,,,,,,,2023-11-10-12-46,2023-11-10-13-12,26
s.d62b64d3-f90a-40a0-849f-295c787e904c.txt,2,2,1,2,2,1,6,4,7,4,6,2,2,5,2,,,,,,,,,,,2023-11-08-21-57,2023-11-08-22-15,18
s.c48e5b1a-5661-438b-a801-a6057b2bd119.txt,1,1,1,3,2,5,7,3,6,4,3,5,6,4,6,,,,,,,,,,,2023-11-08-13-35,2023-11-08-13-41,6
s.0d3f53a6-6e7d-4fcb-8f5f-cbe344253f4d.txt,2,1,2,2,1,,,,,,,,,,,7,4,5,4,2,2,2,6,6,3,2023-11-09-00-34,2023-11-09-00-42,8
s.14782ea6-7166-4e17-84a8-fb5553ada36e.txt,1,1,2,3,1,,,,,,,,,,,2,3,6,4,2,6,6,2,4,6,2023-11-07-17-02,2023-11-07-17-15,13
s.50647372-da43-4e3d-9f9f-f72ee3ca4c02.txt,1,2,2,2,1,4,6,3,3,5,4,3,6,5,3,,,,,,,,,,,2023-11-09-13-11,2023-11-09-15-07,116
s.35dc5560-47bb-4e35-b068-f6a7082a5310.txt,1,2,2,3,1,,,,,,,,,,,7,7,6,6,7,4,5,5,4,6,2023-11-08-14-41,2023-11-08-14-46,5
s.97ae8708-2de9-46c2-9122-7f5b43554e9c.txt,2,2,2,3,1,,,,,,,,,,,6,6,7,2,4,7,6,7,5,4,2023-11-09-22-18,2023-11-09-22-25,7
s.2661b293-83c6-4a7f-9abd-b36840001ff2.txt,1,2,3,2,1,,,,,,,,,,,3,5,5,5,5,6,6,5,5,5,2023-11-08-09-47,2023-11-08-09-57,10
s.2c60b872-1a12-4255-9244-002fff04b04d.txt,2,1,3,3,2,6,3,6,6,6,4,5,4,4,4,,,,,,,,,,,2023-11-09-15-42,2023-11-09-16-56,74
s.ab9ba385-0df2-4631-93fe-00adbe1c9a50.txt,2,2,3,2,2,3,3,2,2,2,1,1,2,3,2,,,,,,,,,,,2023-11-12-21-43,2023-11-12-21-44,1
s.cb4d9805-d2cc-4927-92c7-839c1c2b14d9.txt,1,2,2,3,2,,,,,,,,,,,4,4,6,5,6,6,3,7,4,5,2023-11-08-19-00,2023-11-08-19-19,19
s.7f814fc3-feaf-4943-aa8b-cdfc79b92e50.txt,1,2,2,2,1,7,7,5,7,6,7,7,7,7,6,,,,,,,,,,,2023-11-08-13-14,2023-11-08-13-20,6
s.6b57d672-e912-4fbb-b1f1-fd3f2a84a3f2.txt,2,2,2,2,2,,,,,,,,,,,7,6,6,5,4,5,5,7,6,6,2023-11-12-20-52,2023-11-12-20-55,3
s.8c50592d-abec-43a2-9b82-af9f1fe294f3.txt,2,1,3,3,2,7,5,5,7,7,7,6,7,6,7,,,,,,,,,,,2023-11-12-21-00,2023-11-12-21-02,2
s.283950f9-a49a-4392-90b8-2ec1d1df5d29.txt,1,1,2,2,1,2,7,5,6,6,4,6,6,6,5,,,,,,,,,,,2023-11-10-14-46,2023-11-10-15-03,17
s.f52ed344-6587-4ab5-866b-485955b24430.txt,2,2,2,2,2,,,,,,,,,,,5,5,6,4,2,4,5,4,2,3,2023-11-08-14-09,2023-11-08-14-52,43
s.f074cbc4-e5f1-4ef5-8008-49b2622024c0.txt,2,2,2,3,2,,,,,,,,,,,6,6,6,5,6,6,6,6,6,6,2023-11-12-19-23,2023-11-12-19-41,18
s.67be1f04-ebcd-490d-9a4a-a45f90a2e5d1.txt,1,1,2,2,1,3,3,3,3,3,4,4,3,3,3,,,,,,,,,,,2023-11-11-13-57,2023-11-11-13-58,1
s.0254201d-629c-4221-97e2-637e895aaaaf.txt,3,2,1,2,2,6,5,4,7,7,7,4,7,6,7,,,,,,,,,,,2023-11-12-21-02,2023-11-12-21-04,2
s.f43dcbb6-b50a-4a27-8671-8aeca812dfd8.txt,3,3,3,3,1,7,7,5,6,4,5,4,7,4,4,,,,,,,,,,,2023-11-10-14-51,2023-11-10-14-52,1
s.3097888f-ef4d-4a06-ae4d-e5e1f9789a42.txt,2,1,3,3,2,,,,,,,,,,,7,4,2,7,6,5,1,6,5,3,2023-11-08-19-02,2023-11-08-19-14,12
s.832cf12a-efad-44ec-b7c6-6b590a2a7a12.txt,2,1,3,3,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2023-11-10-07-12,2023-11-10-07-13,1
s.e9eea2fb-05d0-4021-927a-578fa6b346c2.txt,1,2,2,3,2,7,6,4,6,6,5,6,6,6,7,,,,,,,,,,,2023-11-07-16-56,2023-11-07-17-02,6
s.b173a0e3-37a6-4db4-b1ea-8f7232d71237.txt,2,1,2,3,2,4,3,5,6,6,6,6,6,3,6,,,,,,,,,,,2023-11-08-17-32,2023-11-08-17-48,16
s.6318c9ca-0a8f-4581-8829-0f1c675248b7.txt,2,1,2,3,1,,,,,,,,,,,7,2,5,6,4,5,6,2,2,6,2023-11-09-17-54,2023-11-09-18-14,20
s.ddefabac-cb12-4621-ab76-068f77964d31.txt,2,1,3,2,2,7,4,5,6,5,6,6,6,7,7,,,,,,,,,,,2023-11-12-21-24,2023-11-12-21-25,1
s.a8895d6a-98b4-4200-ba12-a9cba7173af3.txt,1,2,2,3,2,,,,,,,,,,,5,7,7,7,7,7,7,7,7,7,2023-11-08-20-47,2023-11-08-20-54,7
s.be9d7df1-7ab2-45b8-9d5a-bd738477c86f.txt,2,1,3,2,2,,,,,,,,,,,6,6,6,6,6,5,6,7,1,7,2023-11-12-20-56,2023-11-12-20-57,1
s.79dd11f2-23fd-4129-a66d-c20055482f1d.txt,3,3,3,3,3,7,7,7,7,6,6,7,7,7,7,,,,,,,,,,,2023-11-08-13-33,2023-11-08-13-34,1
s.f7ac4397-6d77-44d9-a4c7-e48ef86849c3.txt,2,1,1,2,2,,,,,,,,,,,5,6,6,6,6,2,2,6,6,2,2023-11-08-14-14,2023-11-08-14-28,14
s.322854f6-48b0-4850-ad85-5a71ef17502d.txt,2,1,2,1,2,7,2,1,7,2,7,1,7,6,7,,,,,,,,,,,2023-11-12-21-22,2023-11-12-21-23,1
s.d085a3c0-7829-425d-8f06-4106f833379b.txt,2,1,1,1,1,,,,,,,,,,,2,2,4,2,2,1,2,2,6,3,2023-11-08-00-23,2023-11-08-00-38,15
s.1450fc77-17f8-44e1-831c-42e082633ee7.txt,2,2,2,3,2,7,6,5,7,6,7,4,7,6,7,,,,,,,,,,,2023-11-12-21-25,2023-11-12-21-26,1
s.40e2d362-a4d8-47fb-ace3-231a1798a3dd.txt,2,1,3,3,1,7,7,6,4,6,2,7,6,6,7,,,,,,,,,,,2023-11-08-15-04,2023-11-08-15-06,2
s.8f0a81a6-a029-440a-87a7-5f187d635822.txt,2,1,3,3,2,,,,,,,,,,,3,4,5,7,6,5,4,5,7,2,2023-11-09-18-45,2023-11-09-19-04,19
s.d1c638a1-30e7-4ea1-af34-3f9d0bc8f556.txt,2,1,3,3,2,,,,,,,,,,,5,4,6,4,3,5,3,4,7,6,2023-11-09-14-58,2023-11-09-15-14,16
s.2b9caf95-46d8-4071-a8ab-d15c4fbcdda2.txt,1,1,3,3,1,,,,,,,,,,,4,3,2,3,4,7,7,3,7,7,2023-11-08-11-52,2023-11-08-11-56,4
s.3be3f7fc-8a79-441a-b8db-bc7c5896b086.txt,2,2,1,3,1,6,6,6,2,6,6,6,6,6,6,,,,,,,,,,,2023-11-08-14-44,2023-11-08-15-07,23
s.2b45daac-26e4-4cef-9178-8b2250833925.txt,1,1,3,3,3,7,1,1,1,1,6,1,7,1,1,,,,,,,,,,,2023-11-08-13-58,2023-11-08-14-09,11
s.2b419c1a-8d52-47ad-ba94-362d1be3dd42.txt,1,2,2,2,3,3,5,5,3,5,3,4,6,6,3,,,,,,,,,,,2023-11-08-13-06,2023-11-08-13-18,12
s.92696454-8b7e-484d-80a5-08480e13d172.txt,2,2,3,2,2,3,2,4,3,2,3,2,3,3,3,,,,,,,,,,,2023-11-12-21-42,2023-11-12-21-43,1
s.857ed89d-2a5f-4535-b286-8eb69cf78085.txt,2,1,1,2,2,7,7,7,7,7,6,7,7,5,6,,,,,,,,,,,2023-11-08-14-35,2023-11-08-15-02,27
s.1f3ca58c-1a2d-459e-abfa-b2ec1f6cddd3.txt,1,1,3,2,2,,,,,,,,,,,4,7,6,5,3,3,4,2,6,7,2023-11-09-14-21,2023-11-09-14-33,12
s.a150fac0-f18a-4c92-9b4e-a16d79081460.txt,1,2,3,3,1,,,,,,,,,,,3,7,3,4,3,5,3,5,4,6,2023-11-08-10-41,2023-11-08-11-03,22
s.24c03cdf-a357-4291-af24-02d5926a44c6.txt,2,2,2,3,1,,,,,,,,,,,5,2,5,4,6,3,5,6,6,6,2023-11-08-12-39,2023-11-08-12-46,7
s.687a2a7c-6f73-4717-8a07-0d00ba543419.txt,3,2,2,2,1,,,,,,,,,,,5,5,4,3,4,3,3,2,2,3,2023-11-11-01-59,2023-11-11-02-07,8
s.25235af7-f7f3-4651-a7db-495a427adbce.txt,2,1,2,2,1,,,,,,,,,,,6,2,3,3,3,5,3,5,2,5,2023-11-08-17-06,2023-11-08-17-14,8
s.9bb41093-393c-4d77-8e6e-aefe7b27638e.txt,2,1,3,3,2,,,,,,,,,,,6,3,3,5,5,4,3,2,3,4,2023-11-08-14-09,2023-11-08-14-13,4
s.7811103d-69e4-4915-84f1-c994dd785f58.txt,1,2,3,3,2,5,2,3,2,5,6,1,7,4,3,,,,,,,,,,,2023-11-08-13-58,2023-11-08-14-14,16
s.fae1b1cc-33eb-4ed0-a03e-ef5f6a42a91a.txt,2,2,1,3,2,,,,,,,,,,,6,6,5,5,4,6,4,5,4,4,2023-11-08-13-57,2023-11-08-14-09,12
s.c90364ca-a969-4282-a897-a40f120c18e2.txt,1,2,2,3,1,2,4,6,7,5,5,6,4,4,6,,,,,,,,,,,2023-11-10-10-47,2023-11-10-10-50,3
